Layer,Attention_PPL,Attention_Delta,MLP_PPL,MLP_Delta,Attention_Rank,MLP_Rank
0,8.77,2.0248532132776003,1586.47,1579.7248532132776,1.0,1.0
1,6.89,0.14485321327760037,6.97,0.22485321327760044,11.0,20.5
2,6.66,-0.08514678672239917,7.12,0.3748532132776008,30.5,9.0
3,6.52,-0.22514678672239974,7.42,0.6748532132776006,32.0,3.0
4,6.92,0.17485321327760062,7.18,0.4348532132776004,8.0,6.0
5,6.89,0.14485321327760037,7.34,0.5948532132776005,11.0,4.0
6,6.83,0.08485321327760076,7.06,0.3148532132776003,16.0,12.0
7,6.8,0.05485321327760051,7.1,0.35485321327760033,18.5,10.0
8,6.71,-0.03514678672239935,7.02,0.27485321327760026,27.0,13.5
9,6.77,0.02485321327760026,6.87,0.1248532132776008,23.0,27.5
10,6.7,-0.045146786722399135,6.89,0.14485321327760037,28.0,26.0
11,6.8,0.05485321327760051,6.99,0.2448532132776009,18.5,18.0
12,6.76,0.014853213277600474,7.0,0.2548532132776007,24.5,16.0
13,6.76,0.014853213277600474,6.95,0.20485321327760087,24.5,22.0
14,6.89,0.14485321327760037,6.86,0.11485321327760101,11.0,29.0
15,6.72,-0.02514678672239956,7.14,0.39485321327760037,26.0,7.5
16,6.88,0.13485321327760058,7.02,0.27485321327760026,13.5,13.5
17,6.88,0.13485321327760058,6.94,0.19485321327760108,13.5,23.0
18,6.78,0.034853213277600936,6.93,0.1848532132776004,21.5,24.0
19,6.9,0.15485321327760104,6.8,0.05485321327760051,9.0,31.5
20,6.95,0.20485321327760087,6.87,0.1248532132776008,6.5,27.5
21,6.82,0.07485321327760097,6.99,0.2448532132776009,17.0,18.0
22,6.79,0.04485321327760072,6.9,0.15485321327760104,20.0,25.0
23,6.84,0.09485321327760055,7.19,0.4448532132776011,15.0,5.0
24,6.95,0.20485321327760087,6.8,0.05485321327760051,6.5,31.5
25,7.04,0.2948532132776007,6.84,0.09485321327760055,3.0,30.0
26,7.01,0.2648532132776005,7.14,0.39485321327760037,4.0,7.5
27,7.34,0.5948532132776005,7.08,0.33485321327760076,2.0,11.0
28,6.96,0.21485321327760065,7.01,0.2648532132776005,5.0,15.0
29,6.66,-0.08514678672239917,6.97,0.22485321327760044,30.5,20.5
30,6.69,-0.05514678672239892,6.99,0.2448532132776009,29.0,18.0
31,6.78,0.034853213277600936,7.89,1.1448532132776004,21.5,2.0
